Time,THCP,THCP01,THCP02,THCP03,THCP04,THCP05,THCP06,THCP07,THCP08,THCP09,THCP10,THCP11,THCP12,THCP13,THCP14,THCP15,THCP16,THCP17,GAS,GAS01,GAS02,GAS03,GAS04,GAS05,GAS06,GAS07,GAS08,GAS09,GAS10,GAS11,GAS12,GAS13,GAS14,GAS15,GAS16,GAS17
3.6503011,19.999991,19.999956,20.000028,19.999852,19.999937,19.999992,19.999944,20.000054,20.000024,19.999642,19.999888,19.999954,20.082167,20.000095,20.00005,19.9993,19.999847,19.9999,9.14779E-06,9.12048E-06,1.21104E-05,-4.25102E-05,-1.45724E-05,-5.84605E-06,2.25213E-05,3.37168E-05,3.07982E-05,-9.03528E-05,-2.50557E-05,-1.30228E-05,0.000100867,9.97143E-05,5.97479E-05,-0.000187116,-4.93259E-05,-2.61154E-05
4.0797482,20.000046,20.000105,20.000134,19.999966,20.000019,20.000025,20.000185,20.000361,20.000155,19.999844,19.999963,19.999969,20.12457,20.000539,20.000165,19.999615,19.999901,19.999897,0.000129159,0.000371226,0.000241187,0.000256177,0.000191041,6.6657E-05,0.000565527,0.00071506,0.00030873,0.000467113,0.000180832,2.91708E-05,0.002874491,0.001046385,0.000279844,0.000719106,0.000121811,-6.26225E-06
4.2944718,20.000101,20.00025,20.000238,20.000077,20.0001,20.000058,20.000422,20.000662,20.000283,20.000041,20.000037,19.999985,20.168096,20.000977,20.000278,19.999922,19.999955,19.999895,0.000129159,0.000371226,0.000241187,0.000256177,0.000191041,6.6657E-05,0.000565527,0.00071506,0.00030873,0.000467113,0.000180832,2.91708E-05,0.002874491,0.001046385,0.000279844,0.000719106,0.000121811,-6.26225E-06
4.5091954,20.000566,20.000449,20.000317,20.000356,20.000173,20.000084,20.001643,20.000969,20.000375,20.00053,20.000093,19.999997,20.199237,20.001358,20.000361,20.000698,19.999993,19.999896,0.001668155,0.000742046,0.000280783,0.000994683,0.000264481,8.36355E-05,0.004377899,0.001111935,0.000338525,0.00175559,0.00021088,3.68118E-05,0.01325365,0.001384873,0.000309609,0.002783357,0.000134929,-6.0923E-07
4.9386426,20.00125,20.00074,20.000433,20.000766,20.000282,20.000124,20.003431,20.001421,20.00051,20.001247,20.000176,20.000015,20.242349,20.00192,20.000482,20.001833,20.00005,19.999896,0.001668155,0.000742046,0.000280783,0.000994683,0.000264481,8.36355E-05,0.004377899,0.001111935,0.000338525,0.00175559,0.00021088,3.68118E-05,0.01325365,0.001384873,0.000309609,0.002783357,0.000134929,-6.0923E-07
5.1533662,20.002725,20.00103,20.000551,20.001237,20.000392,20.000166,20.007127,20.001875,20.000653,20.002046,20.000264,20.000041,20.284724,20.002602,20.000726,20.003164,20.00015,19.999988,0.004553033,0.000758034,0.000291677,0.001242791,0.000278608,9.44331E-05,0.011363527,0.001155806,0.000374833,0.002104123,0.000231377,6.3424E-05,0.031287853,0.001855418,0.000757328,0.003586284,0.000291564,0.000325605
5.5828134,20.004558,20.001313,20.000667,20.001729,20.000502,20.000209,20.011669,20.002322,20.000798,20.002871,20.000352,20.000071,20.320972,20.003331,20.001026,20.004561,20.000269,20.000123,0.004553033,0.000758034,0.000291677,0.001242791,0.000278608,9.44331E-05,0.011363527,0.001155806,0.000374833,0.002104123,0.000231377,6.3424E-05,0.031287853,0.001855418,0.000757328,0.003586284,0.000291564,0.000325605
5.7460208,20.006113,20.001559,20.00078,20.002144,20.000609,20.000274,20.015585,20.002754,20.001003,20.003564,20.000478,20.000188,20.347244,20.004329,20.001621,20.005746,20.000515,20.000413,0.004790246,0.000817653,0.000373241,0.001287441,0.000351381,0.000233252,0.012307642,0.001458154,0.000780752,0.002180781,0.000485082,0.000498168,0.035919278,0.003749638,0.002398658,0.003796389,0.000988816,0.001169071
6.0513967,20.007427,20.001769,20.000884,20.002492,20.000706,20.000345,20.01892,20.003146,20.001222,20.004147,20.000613,20.000337,20.365154,20.005375,20.002306,20.006742,20.0008,20.000754,0.004790246,0.000817653,0.000373241,0.001287441,0.000351381,0.000233252,0.012307642,0.001458154,0.000780752,0.002180781,0.000485082,0.000498168,0.035919278,0.003749638,0.002398658,0.003796389,0.000988816,0.001169071
6.3357337,20.009082,20.002112,20.001126,20.002947,20.000949,20.000571,20.02317,20.003911,20.00175,20.004923,20.001011,20.000706,20.38331,20.007411,20.003548,20.008112,20.001492,20.001353,0.004914443,0.001122077,0.000780465,0.001374998,0.000793682,0.000730076,0.012870894,0.002477208,0.001715545,0.002390057,0.001318419,0.001165706,0.039773874,0.006466739,0.003832389,0.004348898,0.002214575,0.00181154
6.6200708,20.010706,20.002534,20.001439,20.003452,20.001269,20.000855,20.027373,20.004857,20.002398,20.005799,20.001519,20.00114,20.395967,20.009775,20.00492,20.009652,20.002314,20.002001,0.005053741,0.001465504,0.001006651,0.001694819,0.001026847,0.000832403,0.013393214,0.00310374,0.001986606,0.002995946,0.001562477,0.001241621,0.042222438,0.007333648,0.004060375,0.005371737,0.002428468,0.001865777
